,id,categories,city,name,postalcode,state
0,AVwcmSyZIN2L1WUfmxyw,american fast food,Thibodaux,SONIC Drive In,70301,Louisiana
2,AVwcopQoByjofQCxgfVa,american fast food,Pigeon Forge,Taco Bell,37863,Tennessee
3,AVweXN5RByjofQCxxilK,american fast food,Pigeon Forge,Arby's,37863,Tennessee
4,AWQ6MUvo3-Khe5l_j3SG,american fast food,Morrow,Steak 'n Shake,30260,Georgia
5,AVwc57jLkufWRAb50ROs,american fast food,Detroit,Wendy's,48204,Michigan
6,AVwc81QgkufWRAb50vnI,american fast food,Detroit,Burger King,48235,Michigan
7,AVwdVafPByjofQCxoA6y,american fast food,Oceanside,Chipotle Mexican Grill,92056,California
8,AVwc4JQKIN2L1WUfp3hU,american fast food,Riverhead,7-Eleven,11901,New York
9,AVwdhkOGByjofQCxp9qV,american fast food,Monahans,Dairy Queen,79756,Texas
10,AVwc2ok4IN2L1WUfpnU2,ice cream,Mabank,Dairy Queen,75147,Texas
11,AVwcplHhkufWRAb5xhgN,ice cream,Missouri City,Dairy Queen,77459,Texas
12,AVwc9leAkufWRAb502-U,american fast food,Akron,Mr. Hero,44319,Ohio
13,AVwd1qaUIN2L1WUfzqmC,american fast food,Eastland,Golden Chick,76448,Texas
14,AVwdnJWakufWRAb57mV7,american fast food,Azusa,Carl's Jr,91702,California
15,AVwdtkXOkufWRAb58kPz,american fast food,Summerville,Checkers,29483,South Carolina
16,AV5DN3ZIRxPSIh2Rg4wP,american fast food,Oregon,Rally's,43616,Ohio
17,AVyoBhJfl8hL2jjQySvt,american fast food,Los Angeles,Togo's,90045,California
18,AWEw_nira4HuVbedNUaj,american fast food,Pearl,Rally's,39208,Mississippi
19,AVweYSpBByjofQCxxr1V,american fast food,Grand Rapids,Checkers,49512,Michigan
20,AVweGMHhIN2L1WUf184o,american fast food,Shelbyville,Rally's,46176,Indiana
21,AVwda6iJ_7pvs4fz5tYc,american fast food,Brooklyn,Checkers,11207,New York
22,AV6Ze33Wa4HuVbedFO8M,american fast food,Augusta,Checkers,30904,Georgia
23,AWIUGMchRxPSIh2Rtd6m,american fast food,Detroit,Checkers,48227,Michigan
24,AVwcwzHrIN2L1WUfonLk,american fast food,Arlington,Little Q Hot Pot,02474,Massachusetts
25,AVz7P6oa3D1zeR_xDIUp,american fast food,Schenectady,McDonald's,12304,New York
26,AVzxltjJ3D1zeR_xCvkm,american fast food,Kingston,McDonald's,12401,New York
27,AVzA1QA5-gnIPe8DScbz,american fast food,New York,McDonald's,10036,New York
28,AVzA2BSFFcQ3k02bBX5D,american fast food,New York,McDonald's,10002,New York
29,AVzA1yfgFcQ3k02bBXsM,american fast food,Uniondale,McDonald's,11553,New York
30,AVwcqXk_IN2L1WUfnfjj,american fast food,Jericho,McDonald's,11753,New York
32,AVzA9Jdy3D1zeR_xBB6o,american fast food,Albany,McDonald's,12205,New York
33,AVweGpbrByjofQCxvTXO,american fast food,Bronx,McDonald's,10452,New York
34,AVwem9aT_7pvs4fzEmAG,american fast food,Schenectady,McDonald's,12303,New York
35,AVzA-ZBX3D1zeR_xBC5-,american fast food,Buffalo,McDonald's,14220,New York
36,AVweJ0Ia_7pvs4fzAgfO,american fast food,Tonawanda,McDonald's,14150,New York
37,AVwces8okufWRAb5vlRx,american fast food,Woburn,McDonald's,01801,Massachusetts
38,AVwcsXYaIN2L1WUfn2dL,american fast food,Whitinsville,McDonald's,01588,Massachusetts
39,AVwc3cSmkufWRAb5z2SV,american fast food,Wilmington,McDonald's,01887,Massachusetts
40,AVwdFWc6kufWRAb52Ii-,american fast food,Webster,McDonald's,01570,Massachusetts
41,AVwc1B6C_7pvs4fzzZyE,american fast food,Waltham,McDonald's,02451,Massachusetts
42,AVwdU1JdkufWRAb54uB-,american fast food,Townsend,McDonald's,01469,Massachusetts
43,AVwdAItCIN2L1WUfrMbM,american fast food,Walpole,McDonald's,02081,Massachusetts
44,AVwdc6QkkufWRAb56DlY,american fast food,Taunton,McDonald's,02780,Massachusetts
45,AVwdsjnDByjofQCxrp_O,american fast food,Springfield,McDonald's,01104,Massachusetts
46,AVwdbqmQkufWRAb552W1,american fast food,Springfield,McDonald's,01105,Massachusetts
47,AV1c-wlt3-Khe5l_McNk,american fast food,Springfield,McDonald's,01107,Massachusetts
48,AVwdIRedIN2L1WUfsf_z,american fast food,Springfield,McDonald's,01118,Massachusetts
49,AVwdjZbmByjofQCxqPGw,american fast food,Springfield,McDonald's,01129,Massachusetts
50,AVwdDlQLIN2L1WUfrwVm,american fast food,Spencer,McDonald's,01562,Massachusetts
52,AV1TppAe3D1zeR_xEzJQ,american fast food,Miami,Five Guys,33174,Florida
53,AVwdZcGEkufWRAb55egc,mexican,Wylie,Taco Bell,75098,Texas
54,AVwdDkuikufWRAb5118z,american fast food,Tyler,Taco Bell,75703,Texas
55,AV0aJ-e7-gnIPe8DVwr6,american fast food,Columbia,Burger King,65203,Missouri
56,AVwd26prkufWRAb593IL,burger,Savannah,Wendy's,31401,Georgia
57,AVwdiRbzkufWRAb562YV,burger,Marietta,Wendy's,30062,Georgia
58,AVwdb1nU_7pvs4fz53qu,american fast food,McDonough,Wendy's,30253,Georgia
59,AVwcgFqqkufWRAb5v1eH,american fast food,Monroe,Wendy's,30655,Georgia
60,AVwcmhjDkufWRAb5w_z_,american fast food,Augusta,Wendy's,30907,Georgia
61,AVwcluhz_7pvs4fzwyJN,american fast food,Milledgeville,Wendy's,31061,Georgia
62,AVwcfXocIN2L1WUflhAb,burger,Loganville,Wendy's,30052,Georgia
63,AVwd7Gr9ByjofQCxtsh5,american fast food,Loganville,Wendy's,30052,Georgia
64,AVwdlv0fByjofQCxqm75,american fast food,Lithonia,Wendy's,30038,Georgia
65,AVwdNSSPkufWRAb53cQa,american fast food,Danvers,Burger King,01923,Massachusetts
66,AVwdzorbIN2L1WUfzYva,american fast food,Springfield,Boston Road Pizza,01119,Massachusetts
67,AVzn71MY-gnIPe8DT0h0,american fast food,Ravenna,McDonald's,44266,Ohio
68,AVwdzKj-kufWRAb59W3R,american fast food,Arlington,Boston Market,76016,Texas
69,AVwchgsQkufWRAb5wGKD,american fast food,Attleboro,D'Angelo Grilled Sandwiches,02703,Massachusetts
70,AVwePo1-_7pvs4fzBS_K,american fast food,El Cajon,Burger King,92019,California
71,AVzX86OvLD2H7whiWxXf,american fast food,El Cajon,Boston Market,92020,California
73,AVwdiPqNkufWRAb562Hr,american fast food,El Cajon,Burger King,92020,California
74,AVwdZrvlkufWRAb55hP6,american fast food,Willow Grove,Nino's Pizzarama,19090,Pennsylvania
75,AVwd643oByjofQCxtqzD,american fast food,Fontana,Carl's Jr,92335,California
76,AV1Tq_hwFcQ3k02bFdid,american fast food,Encino,Carl's Jr,91316,California
77,AV1Tpy4ZFcQ3k02bFSfT,american fast food,Encinitas,Burger King,92024,California
78,AVwddqKPByjofQCxpYGP,american fast food,Downey,Carl's Jr,90241,California
79,AVwdkEioByjofQCxqWOE,american fast food,Downey,Carl's Jr,90242,California
80,AVweNpkUkufWRAb5A-zb,american fast food,San Diego,Filippi's Pizza Grotto,92109,California
81,AVwc7rRD_7pvs4fz0gYD,american fast food,Cypress,Burger King,77433,Texas
83,AVwcw60lIN2L1WUfoooM,american fast food,Pleasant Hill,Boston Market,94523,California
84,AVwdnXRZIN2L1WUfxkNs,american fast food,Castro Valley,Jack in the Box,94546,California
85,AVwd-SOJ_7pvs4fz-6EA,american fast food,San Jose,Round Table Pizza,95129,California
86,AVzA4fj63D1zeR_xBBac,american fast food,Compton,El Pollo Loco,90220,California
87,AVwdPSKNkufWRAb53xeV,american fast food,Chula Vista,Arby's,91915,California
88,AVwcu-9q_7pvs4fzyYXH,american fast food,Chico,Burger King,95926,California
89,AV1c4JzO3-Khe5l_MAH3,american fast food,Arroyo Grande,In-N-Out Burger,93420,California
90,AVwcwGmqByjofQCxhyYd,american fast food,Palm Desert,Copper Oven Artisan Pizza,92260,California
91,AVzA0wbK-gnIPe8DSb2d,american fast food,Canoga Park,Carl's Jr,91304,California
92,AVwcyKEvIN2L1WUfo2pL,american fast food,Capitola,McDonald's,95010,California
93,AVwdU8Zk_7pvs4fz4tpV,american fast food,Camarillo,Carl's Jr,93010,California
94,AVwcodnckufWRAb5xVec,mexican,Barstow,Del Taco,92311,California
95,AVwc0mu9ByjofQCxikTz,american fast food,Baldwin Park,Del Taco,91706,California
96,AVwc-CWaIN2L1WUfq2pa,american fast food,La Puente,Little Caesars Pizza,91744,California
97,AV1l1ovCIxWefVJwgda0,american fast food,Bishop,McDonald's,93514,California
98,AVwcnu2GByjofQCxgVL7,american fast food,Americus,McDonald's,31709,Georgia
99,AVwdjmCIByjofQCxqRKR,american fast food,Anderson,Burger King,29621,South Carolina
100,AVwdCGBckufWRAb51mNH,american fast food,Alhambra,Carl's Jr,91803,California
101,AV4_RFWXRxPSIh2RgFt4,american fast food,Augusta,Sbarro,30909,Georgia
102,AVwcwDRw_7pvs4fzykWK,american fast food,Neoga,Casey's General Store,62447,Illinois
103,AV0aTD2xFcQ3k02bEyuH,american fast food,Newton,Casey's General Store,62448,Illinois
104,AVwdIh6-kufWRAb52oPR,american fast food,Chatsworth,Chipotle Mexican Grill,91311,California
105,AVwczNK6_7pvs4fzzGVG,american fast food,Cedartown,McDonald's,30125,Georgia
106,AVwcs5UeIN2L1WUfn8Dw,american fast food,Glastonbury,Burger King,06033,Connecticut
107,AVwcgUAnByjofQCxe9y-,sandwich,Glastonbury,Boston Market,06033,Connecticut
108,AVwd9UitIN2L1WUf0uXa,american fast food,Campbellsville,McDonald's,42718,Kentucky
109,AVwd81rC_7pvs4fz-sn2,american fast food,Campbellsville,SUBWAY,42718,Kentucky
110,AVwdTQehkufWRAb54dfs,american fast food,Fairfield,Burger King,94534,California
111,AV1XXDhl3D1zeR_xFL3p,american fast food,Ashland,Fat Patty's,41101,Kentucky
112,AVwdW2SRByjofQCxoQyy,american fast food,Ashland,Dairy Queen,41102,Kentucky
113,AVwcpUOXByjofQCxgnHA,american fast food,Fort Pierce,Pizza Hut,34950,Florida
114,AVwdLrwcByjofQCxmXmY,sandwich,Brooksville,Arby's,34613,Florida
115,AVwcmuGmkufWRAb5xB96,american fast food,Hobe Sound,McDonald's,33455,Florida
116,AVwd0wAT_7pvs4fz9mEA,burger,Navarre,Culver's,32566,Florida
117,AVzTZaNU3D1zeR_xBXxu,american fast food,Hialeah,Burger King,33013,Florida
118,AV1TpiyD3D1zeR_xEyLk,american fast food,Hialeah,Pizza Hut,33016,Florida
119,AVwcimj4IN2L1WUfmFiM,american fast food,Haines City,Dairy Queen,33844,Florida
120,AV3iT1tKa4HuVbed-_bC,american fast food,Saint Augustine,Pizza Hut,32092,Florida
121,AVwchzjWkufWRAb5wJ5F,american fast food,Deltona,KFC,32725,Florida
122,AVweErZdkufWRAb5_wsj,american fast food,DeFuniak Springs,McDonald's,32435,Florida
123,AVwdVbyAkufWRAb540SL,american fast food,DeFuniak Springs,SONIC Drive-In,32435,Florida
124,AVwci4at_7pvs4fzwRy0,american fast food,DeFuniak Springs,Whataburger,32435,Florida
125,AVwcl7pzkufWRAb5w5G7,sandwich,Estero,Arby's,33928,Florida
126,AVwctJeI_7pvs4fzyFCM,american fast food,Brandon,Chick-Fil-A,33511,Florida
127,AVwdRysRIN2L1WUfuIG0,american fast food,Belle Glade,Taco Bell,33430,Florida
128,AVwc-3LS_7pvs4fz1A-F,american fast food,Avon Park,McDonald's,33825,Florida
129,AVweHfz6IN2L1WUf2IZm,american fast food,Wauchula,Pizza Hut,33873,Florida
130,AVweHQhp_7pvs4fzAJ0E,american fast food,Apopka,Firehouse Subs,32712,Florida
131,AVwcqWX1kufWRAb5xpqx,american fast food,Savannah,Burger King,31408,Georgia
132,AVwdJWPDByjofQCxl-Cp,american fast food,Arkansas City,SONIC Drive-In,67005,Kansas
133,AV12Xtb13-Khe5l_PBqg,american fast food,Dodge City,McDonald's,67801,Kansas
134,AVwdeSIuIN2L1WUfwK9j,american fast food,Ankeny,Burger King,50021,Iowa
136,AVwedDlb_7pvs4fzDIC9,american fast food,Kahului,Cupie's Drive-In,96732,Hawaii
137,AVwdCLrXkufWRAb51nDl,sandwich,Ames,Chick-Fil-A,50010,Iowa
138,AVwdgSrkByjofQCxpxWs,american fast food,Ames,Burger King,50010,Iowa
139,AVwc1CyJ_7pvs4fzzZ4R,american fast food,Ankeny,Burger King,50021,Iowa
140,AVweJeCVByjofQCxvsKt,american fast food,Boise,Pizza Hut,83705,Idaho
141,AVwcphVkIN2L1WUfnWbk,american fast food,Burlington,Burger King,27217,North Carolina
142,AVwcrz0e_7pvs4fzx2eH,american fast food,Bettendorf,Dairy Queen,52722,Iowa
143,AVwc3A7RByjofQCxi-XH,american fast food,Charlotte,McDonald's,28273,North Carolina
